Animal,Date,Location,Session,Notes,More Notes
Marble20,10/17/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble20_10Hz/20181017_2_fcbox,2,Shock Box Day 7,
Marble25,12/3/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble25/20181203_1_openfield,1,Open field Day -2,
Marble25,12/3/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble25/20181203_2_fcbox,2,Shock Box Day -2,
Marble25,12/4/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble25/20181204_1_openfield,1,Open field Day -1,
Marble25,12/4/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble25/20181204_2_fcbox,2,Shock Box Day -1,
Marble25,12/5/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble25/20181205_1_openfield_specialalignmentneeded,1,Open field Day 0,
Marble25,12/5/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble25/20181205_2_fcbox,2,Shock Box Day 0,
Marble25,12/5/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble25/20181205_3_openfield,3,Open field  4hr,
Marble25,12/5/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble25/20181205_4_fcbox,4,Shock Box  4hr,
Marble25,12/6/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble25/20181206_1_openfield,1,Open field Day 1,
Marble25,12/6/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble25/20181206_2_fcbox,2,Shock Box Day 1,
Marble25,12/7/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble25/20181207_1_openfield,1,Open field Day 2,
Marble25,12/7/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble25/20181207_2_fcbox,2,Shock Box Day 2,
Marble25,12/12/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble25/20181212_1_openfield,1,Open field Day 7,
Marble25,12/12/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble25/20181212_2_fcbox,2,Shock Box Day 7,
